school_id	cluster	cluster_weight
208	MR4	1.2837064659579616
209	MR1	2.4543298763853176
209	MR2	9.203774332726654
209	MR3	1.7789131353783865
209	MR4	5.572343682963709
212	MR1	6.181527137158321
212	MR2	9.63151316046291
212	MR3	3.156581696058626
212	MR4	4.652785155555734
218	MR1	2.3313185873881253
218	MR2	7.079505866043658
218	MR3	4.664003606389626
218	MR4	3.783523726094427
225	MR1	2.4996952702314896
225	MR2	9.774375128224058
225	MR3	7.797005417284291
225	MR4	5.143125282793244
234	MR1	3.9422822607176116
234	MR2	1.340110893611537
234	MR3	4.922722930651344
234	MR4	3.136354713792908
236	MR1	3.718267725780491
236	MR2	10.193308860870815
236	MR3	4.212090446129705
236	MR4	3.8075274297058352
237	MR1	5.138597866527351
237	MR2	8.623374279066924
237	MR3	7.024515611657432
